jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Jiří Adam||Male|"6'2"" (187 cm)"|183 lbs (83 kg)|1950-10-12|||Czechoslovakia|Fencing|1976 Summer|Men's Individual|Czechoslovakia|29|||1976 Summer|Men's Team|Czechoslovakia|2|Silver||1980 Summer|Men's Épée, Team|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Luboš Adamec||Male|"6'0"" (184 cm)"|170 lbs (77 kg)|1959-04-18||Dukla Praha/Kometa Brno|Czechoslovakia|Shooting|1988 Summer|Mixed Skeet|Czechoslovakia|27T |||1992 Summer|Mixed Skeet|Czechoslovakia|11T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Adamec||Male|"6'2"" (187 cm)"|192 lbs (87 kg)|1960-06-06|||Czechoslovakia|Swimming|1980 Summer|Men's 200 metres Freestyle|Czechoslovakia|4 h5 r1/2|||1980 Summer|Men's 400 metres Freestyle|Czechoslovakia|5 h3 r1/2|||1980 Summer|Men's 4 × 200 metres Freestyle Relay|Czechoslovakia|5 h2 r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Adolf||Male|||1898-05-14|||Czechoslovakia|Nordic Combined|1924 Winter|Men's Individual|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Alexa||Male|"6'1"" (185 cm)"|172 lbs (78 kg)|1949-07-06|2008-08-05|Zbrojovka Brno, Brno (CZE) / Dukla Praha, Praha (CZE)|Czechoslovakia|Athletics|1968 Summer|Men's High Jump|Czechoslovakia|18T  QR|||1972 Summer|Men's High Jump|Czechoslovakia|29 QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vladimír Andrs||Male|"5'9"" (176 cm)"|165 lbs (75 kg)|1937-05-12|||Czechoslovakia|Rowing|1964 Summer|Men's Double Sculls|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Ankert||Male|||1902|||Czechoslovakia|Water Polo|1924 Summer|Men's Water Polo|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eva Antalecová||Female|"5'10"" (178 cm)"|143 lbs (65 kg)|1966-01-18||SL Prešov/PF Banka Bystrica/SCP Ružomberok|Czechoslovakia|Basketball|1992 Summer|Women's Basketball|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eduard Antoch||Male||||||Czechoslovakia|Rowing|1956 Summer|Men's Coxed Eights|Czechoslovakia|3 h2 r3/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Václav Antoš||Male|||1905-01-19|||Czechoslovakia|Swimming|1924 Summer|Men's 400 metres Freestyle|Czechoslovakia|5 h1 r2/3|||1924 Summer|Men's 1,500 metres Freestyle|Czechoslovakia|4 h5 r1/3|||1924 Summer|Men's 4 × 200 metres Freestyle Relay|Czechoslovakia|3 h3 r1/3|||1928 Summer|Men's 400 metres Freestyle|Czechoslovakia|3 h3 r1/3|||1928 Summer|Men's 1,500 metres Freestyle|Czechoslovakia|3 h3 r1/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Karel Ardelt||Male|||1889-01-28|||Czechoslovakia|Tennis|1920 Summer|Men's Singles|Czechoslovakia|17T |||1920 Summer|Men's Doubles|Czechoslovakia-3|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Mikuláš Athanasov||Male|||1930-11-28|2005-12-26|Lokomotíva Košice, Košice (SVK)|Czechoslovakia|Wrestling|1952 Summer|Men's Lightweight, Greco-Roman|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Richard Augsten||Male||||||Czechoslovakia|Art Competitions|1936 Summer|Mixed Literature, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Augusta||Male|"5'10"" (179 cm)"|190 lbs (86 kg)|1946-11-24||Dukla Jihlava, Jihlava (CZE)|Czechoslovakia|Ice Hockey|1976 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Patrik Augusta||Male|"5'10"" (178 cm)"|170 lbs (77 kg)|1969-11-13||Dukla Jihlava, Jihlava (CZE)|Czechoslovakia|Ice Hockey|1992 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Rudolf Babiak||Male|"5'2"" (157 cm)"|117 lbs (53 kg)|1956-04-12|||Czechoslovakia|Gymnastics|1980 Summer|Men's Individual All-Around|Czechoslovakia|21|||1980 Summer|Men's Team All-Around|Czechoslovakia|6|||1980 Summer|Men's Floor Exercise|Czechoslovakia|33T  QR|||1980 Summer|Men's Horse Vault|Czechoslovakia|38 QR|||1980 Summer|Men's Parallel Bars|Czechoslovakia|36T  QR|||1980 Summer|Men's Horizontal Bar|Czechoslovakia|26T  QR|||1980 Summer|Men's Rings|Czechoslovakia|10T  QR|||1980 Summer|Men's Pommelled Horse|Czechoslovakia|19T  QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Martina Babková (-Balaštíková)||Female|"5'8"" (173 cm)"|137 lbs (62 kg)|1950-08-31|||Czechoslovakia|Basketball|1976 Summer|Women's Basketball|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Bachroň||Male|"5'5"" (165 cm)"|137 lbs (62 kg)|1960-01-09|||Czechoslovakia|Shooting|1980 Summer|Mixed Running Target, 50 metres|Czechoslovakia|18||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Bačík||Male|||1933-07-24|||Czechoslovakia|Swimming|1952 Summer|Men's 100 metres Backstroke|Czechoslovakia|4 h3 r1/3|||1956 Summer|Men's 100 metres Backstroke|Czechoslovakia|8 h1 r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Roman Bačík||Male|||1959-05-27|||Czechoslovakia|Water Polo|1992 Summer|Men's Water Polo|Czechoslovakia|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Stanislav Bacílek||Male|||1929-11-13|1997-03-26|HC Kladno, Kladno (CZE)|Czechoslovakia|Ice Hockey|1956 Winter|Men's Ice Hockey|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslava Bajerová||Female|||1910-04-01|1995-08-23||Czechoslovakia|Gymnastics|1936 Summer|Women's Team All-Around|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miroslav Bajgar||Male|"6'2"" (188 cm)"|183 lbs (83 kg)|1958-02-03||KH Kopřivnice, Kopřivnice (CZE)|Czechoslovakia|Handball|1988 Summer|Men's Handball|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Balaštík||Male|"6'3"" (190 cm)"|183 lbs (83 kg)|1951-05-31||Zbrojovka Brno, Brno (CZE)|Czechoslovakia|Basketball|1972 Summer|Men's Basketball|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Július Baláž||Male|||1901-10-05|1970-10-29||Czechoslovakia|Swimming|1924 Summer|Men's Springboard|Czechoslovakia|9|||1924 Summer|Men's 100 metres Freestyle|Czechoslovakia|3 h6 r1/3|||1928 Summer|Men's Springboard|Czechoslovakia|4 p2 r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Balcar||Male|"5'11"" (181 cm)"|179 lbs (81 kg)|1953-03-27|||Czechoslovakia|Ski Jumping|1976 Winter|Men's Normal Hill, Individual|Czechoslovakia|4|||1976 Winter|Men's Large Hill, Individual|Czechoslovakia|14||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jindřich Balcar||Male|"5'11"" (181 cm)"|187 lbs (85 kg)|1950-03-22|||Czechoslovakia|Ski Jumping|1976 Winter|Men's Large Hill, Individual|Czechoslovakia|27||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ferdinand Balcárek||Male|||1904-08-21|1975-01-16||Czechoslovakia|Art Competitions|1932 Summer|Mixed Architecture, Unknown Event|Czechoslovakia|AC|||1948 Summer|Mixed Architecture, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonín Balda||Male||148 lbs (67 kg)|1910-02-06|||Czechoslovakia|Weightlifting|1936 Summer|Men's Lightweight|Czechoslovakia|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Michal Baldrián||Male|"6'4"" (192 cm)"|183 lbs (83 kg)|1970-02-16|||Czechoslovakia|Cycling|1992 Summer|Men's Individual Pursuit, 4,000 metres|Czechoslovakia|14||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Balej||Male|||1893-05-20|||Czechoslovakia|Wrestling|1912 Summer|Men's Lightweight, Greco-Roman|Bohemia|AC r6/8|||1920 Summer|Men's Middleweight, Greco-Roman|Czechoslovakia|AC r3/5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eduard Balúch||Male|||1971-06-30|||Czechoslovakia|Water Polo|1992 Summer|Men's Water Polo|Czechoslovakia|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Balvín||Male|||1915-11-07|2003-10-20|Sokol Nové Město|Czechoslovakia|Cross Country Skiing|1948 Winter|Men's 50 kilometres|Czechoslovakia|11|||1948 Winter|Men's 4 × 10 kilometres Relay|Czechoslovakia|8|||1952 Winter|Men's 50 kilometres|Czechoslovakia|21||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Valér Barač||Male|||1909-07-16|1991-08-11|Sparta Praha, Praha (CZE)|Czechoslovakia|Athletics|1936 Summer|Men's Discus Throw|Czechoslovakia|AC QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonín Barák||Male|"5'2"" (158 cm)"|112 lbs (51 kg)|1956-07-11|||Czechoslovakia|Rowing|1980 Summer|Men's Coxed Fours|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Rudolf Baránek||Male|||1909-12-20|||Czechoslovakia|Rowing|1936 Summer|Men's Coxed Eights|Czechoslovakia|3 h1 r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anton Baraniak||Male|"5'11"" (180 cm)"|243 lbs (110 kg)|1951-06-20|||Czechoslovakia|Weightlifting|1980 Summer|Men's Heavyweight I|Czechoslovakia|7|||1988 Summer|Men's Heavyweight II|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Michal Barda||Male|"6'3"" (191 cm)"|176 lbs (80 kg)|1955-06-27||TuRU Düsseldorf, Düsseldorf (GER)|Czechoslovakia|Handball|1988 Summer|Men's Handball|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Barna||Male|"5'5"" (165 cm)"|143 lbs (65 kg)|1966-03-09||TV VŠ Praha|Czechoslovakia|Figure Skating|1988 Winter|Men's Singles|Czechoslovakia|13|||1992 Winter|Men's Singles|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alexander Bárta||Male|||1894-04-09|||Czechoslovakia|Fencing|1924 Summer|Men's Sabre, Team|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vladimír Bárta||Male|"6'0"" (183 cm)"|172 lbs (78 kg)|1955-01-13|||Czechoslovakia|Judo|1980 Summer|Men's Half-Middleweight|Czechoslovakia|12T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marie Bartáková||Female|"5'7"" (170 cm)"|157 lbs (71 kg)|1948-11-13|||Czechoslovakia|Rowing|1976 Summer|Women's Coxed Quadruple Sculls|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Tomáš Bartek||Male|"6'4"" (192 cm)"|194 lbs (88 kg)|1958-02-24||Dukla Praha, Praha (CZE)|Czechoslovakia|Handball|1988 Summer|Men's Handball|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Johann Bartl||Male|||1905-07-31||ASG Brünn, Brno (CZE)|Czechoslovakia|Athletics|1928 Summer|Men's 100 metres|Czechoslovakia|3 h10r1/4|||1928 Summer|Men's 200 metres|Czechoslovakia|5 h8 r1/4|||1928 Summer|Men's 400 metres|Czechoslovakia|3 h5 r2/4|||1928 Summer|Men's 4 × 400 metres Relay|Czechoslovakia|5 h2 r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonín Bartoň||Male|"5'11"" (180 cm)"||1908-12-12|1982-09-09||Czechoslovakia|Nordic Combined|1932 Winter|Men's Normal Hill, Individual|Czechoslovakia|21|||1932 Winter|Men's 18 kilometres|Czechoslovakia|16|||1932 Winter|Men's Individual|Czechoslovakia|6|||1932 Winter|Men's 50 kilometres|Czechoslovakia|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Slavomír Bartoň||Male|"6'0"" (183 cm)"|179 lbs (81 kg)|1926-01-22|2004-01-16|Dukla Praha, Praha (CZE) / Kometa Brno, Brno (CZE)|Czechoslovakia|Ice Hockey|1952 Winter|Men's Ice Hockey|Czechoslovakia|4|||1956 Winter|Men's Ice Hockey|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Peter Bartosiewicz||Male|"5'9"" (176 cm)"|150 lbs (68 kg)|1942-08-02|||Czechoslovakia|Figure Skating|1964 Winter|Mixed Pairs|Czechoslovakia-1|9|||1968 Winter|Mixed Pairs|Czechoslovakia-2|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alena Bartošová||Female|"5'5"" (165 cm)"|121 lbs (55 kg)|1944-09-17|||Czechoslovakia|Cross Country Skiing|1972 Winter|Women's 5 kilometres|Czechoslovakia|16|||1972 Winter|Women's 10 kilometres|Czechoslovakia|27|||1972 Winter|Women's 3 × 5 kilometres Relay|Czechoslovakia|6|||1976 Winter|Women's 10 kilometres|Czechoslovakia|35|||1976 Winter|Women's 4 × 5 kilometres Relay|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Heidemarie Bártová-Grécká||Female|"5'4"" (162 cm)"|130 lbs (59 kg)|1965-03-13||USK Praha, Praha (CZE)|Czechoslovakia|Diving|1980 Summer|Women's Springboard|Czechoslovakia|13|||1992 Summer|Women's Springboard|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dušan Bartovič||Male|"5'10"" (178 cm)"|163 lbs (74 kg)|1944-03-04||TTS Trenčín, Trenčín (SVK)|Czechoslovakia|Football|1968 Summer|Men's Football|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Bártů||Male|"5'11"" (181 cm)"|148 lbs (67 kg)|1955-01-16|||Czechoslovakia|Modern Pentathlon|1976 Summer|Men's Individual|Czechoslovakia|3|Bronze||1976 Summer|Men's Team|Czechoslovakia|2|Silver||1980 Summer|Men's Individual|Czechoslovakia|16|||1980 Summer|Men's Team|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Karel Bártů||Male|||1916-09-22|2008-07-25||Czechoslovakia|Modern Pentathlon|1948 Summer|Men's Individual|Czechoslovakia|29||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Bartůnek||Male|"5'10"" (177 cm)"|176 lbs (80 kg)|1965-02-13||Šport Zbraslav/VŠ Praha/Dukla Praha|Czechoslovakia|Canoeing|1992 Summer|Men's Canadian Singles, 1,000 metres|Czechoslovakia|8|||1992 Summer|Men's Canadian Doubles, 500 metres|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miroslav Bartůšek||Male|||1921-08-11|||Czechoslovakia|Swimming|1948 Summer|Men's 400 metres Freestyle|Czechoslovakia|6 h1 r2/3|||1948 Summer|Men's 1,500 metres Freestyle|Czechoslovakia|6 h1 r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Batěk||Male|"6'0"" (183 cm)"|176 lbs (80 kg)|1970-12-07||Lokomotiva Olomouc/Dukla Praha/Bohemians Praha|Czechoslovakia|Rowing|1992 Summer|Men's Coxed Fours|Czechoslovakia|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Bauch||Male||||||Czechoslovakia|Rowing|1920 Summer|Men's Coxed Fours|Czechoslovakia|3 h3 r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Bauer||Male||||||Czechoslovakia|Art Competitions|1936 Summer|Mixed Architecture, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Tomáš Bauer||Male|"5'9"" (175 cm)"|174 lbs (79 kg)|1932-10-26|||Czechoslovakia|Diving|1960 Summer|Men's Springboard|Czechoslovakia|21|||1960 Summer|Men's Platform|Czechoslovakia|21||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Baumruk||Male|"6'1"" (186 cm)"|185 lbs (84 kg)|1930-06-27||Sparta Praha, Praha (CZE)|Czechoslovakia|Basketball|1952 Summer|Men's Basketball|Czechoslovakia|9T |||1960 Summer|Men's Basketball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miroslav Baumruk||Male|||1926-07-12|||Czechoslovakia|Basketball|1952 Summer|Men's Basketball|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Baumruk||Male|"6'4"" (194 cm)"|203 lbs (92 kg)|1962-07-25||Dukla Praha, Praha (CZE) / Haukar, Hafnarfjör<U+00F0>ur (ISL)|Czechoslovakia|Handball|1988 Summer|Men's Handball|Czechoslovakia|6|||1992 Summer|Men's Handball|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miloš Bečvář||Male|"5'10"" (178 cm)"|148 lbs (67 kg)|1957-01-21|||Czechoslovakia|Cross Country Skiing|1980 Winter|Men's 15 kilometres|Czechoslovakia|44|||1980 Winter|Men's 30 kilometres|Czechoslovakia|32|||1980 Winter|Men's 4 × 10 kilometres Relay|Czechoslovakia|9|||1984 Winter|Men's 15 kilometres|Czechoslovakia|29|||1984 Winter|Men's 30 kilometres|Czechoslovakia|27|||1984 Winter|Men's 50 kilometres|Czechoslovakia|23||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Roman Bečvář||Male|"6'5"" (195 cm)"|198 lbs (90 kg)|1966-07-02||VfL Eintracht Hagen, Hagen (GER)|Czechoslovakia|Handball|1992 Summer|Men's Handball|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Václav Bečvář||Male||209 lbs (95 kg)|1908-10-17|||Czechoslovakia|Weightlifting|1936 Summer|Men's Heavyweight|Czechoslovakia|11||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Štefan Bednář||Male|||1909-05-15|1976-01-15||Czechoslovakia|Art Competitions|1936 Summer|Mixed Painting, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vladimír Bednář||Male|"5'11"" (181 cm)"|176 lbs (80 kg)|1948-10-01||Škoda Plzeň, Plzeň (CZE)|Czechoslovakia|Ice Hockey|1972 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miloslav Bednařík||Male|"5'9"" (175 cm)"|203 lbs (92 kg)|1965-01-30|1989-06-16||Czechoslovakia|Shooting|1988 Summer|Mixed Trap|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Radek Beinhauer||Male|"5'10"" (177 cm)"|168 lbs (76 kg)|1969-09-27||TJ Znojmo/Kometa Brno|Czechoslovakia|Swimming|1988 Summer|Men's 100 metres Breaststroke|Czechoslovakia|25|||1988 Summer|Men's 200 metres Breaststroke|Czechoslovakia|12|||1988 Summer|Men's 4 × 100 metres Medley Relay|Czechoslovakia|13|||1992 Summer|Men's 100 metres Breaststroke|Czechoslovakia|32|||1992 Summer|Men's 200 metres Breaststroke|Czechoslovakia|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Růžena Beinhauerová (-Malá)||Female|||1912-09-23|1968-05-16||Czechoslovakia|Alpine Skiing|1936 Winter|Women's Combined|Czechoslovakia|22||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dana Beldová-Spálenská||Female|"5'8"" (172 cm)"|150 lbs (68 kg)|1950-02-10|||Czechoslovakia|Luge|1968 Winter|Women's Singles|Czechoslovakia|6|||1976 Winter|Women's Singles|Czechoslovakia|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Bělohradský||Male|||1926-12-09|2006-02-10||Czechoslovakia|Basketball|1948 Summer|Men's Basketball|Czechoslovakia|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miloslav Bělonožník||Male|||1918-07-11|2010-01-12||Czechoslovakia|Ski Jumping|1948 Winter|Men's Normal Hill, Individual|Czechoslovakia|16||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
