jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Václav Havel||Male|||1920-10-05|1979-12-14||Czechoslovakia|Canoeing|1948 Summer|Men's Canadian Doubles, 10,000 metres|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Havelka||Male|||1908-07-08|||Czechoslovakia|Boxing|1936 Summer|Men's Light-Heavyweight|Czechoslovakia|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Pavel Havelka||Male|"6'2"" (188 cm)"|181 lbs (82 kg)|1965-07-01|||Czechoslovakia|Canoeing|1988 Summer|Men's Kayak Doubles, 500 metres|Czechoslovakia|5 h2r3/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vladimíra Havelková||Female|"5'8"" (172 cm)"|146 lbs (66 kg)|1966-06-29||TJ Znojmo/USK Praha|Czechoslovakia|Canoeing|1992 Summer|Women's Kayak Fours, 500 metres|Czechoslovakia|3 h2r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marián Havlíček||Male|"5'11"" (181 cm)"|183 lbs (83 kg)|1953-04-19|1972-12-30||Czechoslovakia|Canoeing|1972 Summer|Men's Kayak Singles, Slalom|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vlastimil Havlík||Male|"6'3"" (191 cm)"|172 lbs (78 kg)|1957-01-26||Zbrojovka Brno, Brno (CZE)|Czechoslovakia|Basketball|1980 Summer|Men's Basketball|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Havlis||Male|||1932-11-16|2010-01-31||Czechoslovakia|Rowing|1952 Summer|Men's Coxed Fours|Czechoslovakia|1|Gold|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ivan Havránek||Male|||1964-03-10|||Czechoslovakia|Figure Skating|1988 Winter|Mixed Ice Dancing|Czechoslovakia|15||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Házl||Male|"6'0"" (183 cm)"|183 lbs (83 kg)|1971-08-29||Dukla Praha, Praha (CZE)|Czechoslovakia|Handball|1992 Summer|Men's Handball|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Walter Heinzl||Male||||||Czechoslovakia|Bobsleigh|1936 Winter|Men's Four|Czechoslovakia-2|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Hejduk||Male|"6'0"" (182 cm)"|165 lbs (75 kg)|1947-02-13|||Czechoslovakia|Boxing|1968 Summer|Men's Middleweight|Czechoslovakia|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Oldřich Hejdušek||Male|"5'3"" (160 cm)"|110 lbs (50 kg)|1957-10-01||Lodní Sport Brno/Dukla Praha|Czechoslovakia|Rowing|1980 Summer|Men's Coxed Pairs|Czechoslovakia|6|||1988 Summer|Men's Coxed Fours|Czechoslovakia|8|||1992 Summer|Men's Coxed Pairs|Czechoslovakia|16||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Hejma||Male|"5'9"" (175 cm)"|157 lbs (71 kg)|1944-04-24|||Czechoslovakia|Ice Hockey|1968 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Monika Hejtmánková||Female|"6'0"" (183 cm)"|185 lbs (84 kg)|1967-05-11||Zora Olomouc, Olomouc (CZE)|Czechoslovakia|Handball|1988 Summer|Women's Handball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ondrej Hekel||Male|"5'6"" (168 cm)"|172 lbs (78 kg)|1944-02-16|2009-07-23|ŽD Bohumín, Bohumín (CZE)|Czechoslovakia|Weightlifting|1968 Summer|Men's Lightweight|Czechoslovakia|9|||1972 Summer|Men's Middleweight|Czechoslovakia|4|||1976 Summer|Men's Middleweight|Czechoslovakia|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Oskar Hekš||Male|"5'6"" (168 cm)"||1908-04-10|1944-03-08|ŽSK Hagibor, Praha (CZE)|Czechoslovakia|Athletics|1932 Summer|Men's Marathon|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Hellebrand||Male|"5'11"" (180 cm)"|187 lbs (85 kg)|1945-12-30|||Czechoslovakia|Rowing|1968 Summer|Men's Double Sculls|Czechoslovakia|12|||1972 Summer|Men's Single Sculls|Czechoslovakia|12|||1976 Summer|Men's Quadruple Sculls|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Kurt Hennrich||Male|||1931-08-28|||Czechoslovakia|Alpine Skiing|1956 Winter|Men's Downhill|Czechoslovakia|7|||1956 Winter|Men's Giant Slalom|Czechoslovakia|36|||1956 Winter|Men's Slalom|Czechoslovakia|36||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Stanislav Henych||Male|"5'9"" (174 cm)"|157 lbs (71 kg)|1949-02-19||SKI Jilemnice/Spartak Vrchlabi|Czechoslovakia|Cross Country Skiing|1972 Winter|Men's 15 kilometres|Czechoslovakia|21|||1972 Winter|Men's 30 kilometres|Czechoslovakia|9|||1972 Winter|Men's 4 × 10 kilometres Relay|Czechoslovakia|8|||1976 Winter|Men's 15 kilometres|Czechoslovakia|46|||1976 Winter|Men's 50 kilometres|Czechoslovakia|30|||1976 Winter|Men's 4 × 10 kilometres Relay|Czechoslovakia|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miloš Herbst||Male|"6'1"" (186 cm)"|172 lbs (78 kg)|1942-05-06||Škoda Plzeň, Plzeň (CZE)|Czechoslovakia|Football|1968 Summer|Men's Football|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jozef Herda||Male|||1910-04-21|1985-10-04||Czechoslovakia|Wrestling|1936 Summer|Men's Lightweight, Greco-Roman|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Heřmánek||Male|||1907-05-28|1978-05-13||Czechoslovakia|Boxing|1928 Summer|Men's Middleweight|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Štěpán Hevák||Male|||1896||ČSK Praha|Czechoslovakia|Cross Country Skiing|1924 Winter|Men's 18 kilometres|Czechoslovakia|17|||1924 Winter|Men's 50 kilometres|Czechoslovakia|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Heythum||Male|"6'3"" (191 cm)"|198 lbs (90 kg)|1950-05-22|||Czechoslovakia|Rowing|1972 Summer|Men's Coxed Eights|Czechoslovakia|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Hildebrand||Male|||1895-05-07|||Czechoslovakia|Fencing|1936 Summer|Men's Foil, Team|Czechoslovakia|3 p4 r2/4|||1936 Summer|Men's Sabre, Team|Czechoslovakia|3 p3 r2/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
