jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Dagmar Bílková||Female|"5'6"" (167 cm)"|121 lbs (55 kg)|1967-01-15||ZO EHO Hodonin|Czech Republic|Shooting|1988 Summer|Women's Air Rifle, 10 metres|Czechoslovakia|30T |||1988 Summer|Women's Small-Bore Rifle, Three Positions, 50 metres|Czechoslovakia|16T |||1992 Summer|Women's Air Rifle, 10 metres|Czechoslovakia|4|||1992 Summer|Women's Small-Bore Rifle, Three Positions, 50 metres|Czechoslovakia|24T |||1996 Summer|Women's Air Rifle, 10 metres|Czech Republic|20T |||1996 Summer|Women's Small-Bore Rifle, Three Positions, 50 metres|Czech Republic|22T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Rastislav Bizub||Male|"6'0"" (184 cm)"|172 lbs (78 kg)|1972-09-12||ZŤS Martin, USK Praha|Czech Republic|Swimming|1992 Summer|Men's 100 metres Backstroke|Czechoslovakia|24T |||1992 Summer|Men's 200 metres Backstroke|Czechoslovakia|23|||1996 Summer|Men's 100 metres Backstroke|Czech Republic|37|||1996 Summer|Men's 200 metres Backstroke|Czech Republic|24||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jana Blahová||Female|"6'0"" (182 cm)"|152 lbs (69 kg)|1984-11-22||TJ Sokol Hradec Králové, Hradec Králové (CZE)|Czech Republic|Canoeing|2008 Summer|Women's Kayak Doubles, 500 metres|Czech Republic|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miroslav Blat'ák||Male|"6'0"" (182 cm)"|170 lbs (77 kg)|1982-05-25||Salavat Yulaev Ufa, Ufa (RUS)|Czech Republic|Ice Hockey|2010 Winter|Men's Ice Hockey|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Martin Bohman||Male|"5'11"" (180 cm)"|205 lbs (93 kg)|1980-04-05||USK Praha, Praha (CZE)|Czech Republic|Bobsleigh|2010 Winter|Men's Four|Czech Republic-2|16||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Irena Borecká||Female|"5'9"" (175 cm)"|143 lbs (65 kg)|1980-11-05||BK Loko Trutnov|Czech Republic|Basketball|2004 Summer|Women's Basketball|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Břečka||Male|"6'5"" (195 cm)"|187 lbs (85 kg)|1975-10-13|||Czech Republic|Canoeing|2000 Summer|Men's Canadian Doubles, 500 metres|Czech Republic|4 h1r2/3|||2000 Summer|Men's Canadian Doubles, 1,000 metres|Czech Republic|8 h1r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Michal Březina||Male|"5'8"" (172 cm)"|141 lbs (64 kg)|1990-03-30||TJ Stadion Brno|Czech Republic|Figure Skating|2010 Winter|Men's Singles|Czech Republic|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Bříza||Male|"6'0"" (184 cm)"|176 lbs (80 kg)|1964-12-09||HC České Budějovice, České Budějovice (CZE) / Rauman Lukko, Rauma (FIN) / EV Landshut, Landshut (GER)|Czech Republic|Ice Hockey|1992 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze||1994 Winter|Men's Ice Hockey|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonín Brož||Male|"5'8"" (173 cm)"|161 lbs (73 kg)|1987-12-14||TJ Saně Smržovka|Czech Republic|Luge|2006 Winter|Mixed (Men)'s Doubles|Czech Republic|16||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
